,listing_id,farmer_id,country,region,crop_type,quality_grade,harvest_date,listing_date,quantity_kg,ask_price_usd_per_kg,lat_cell,lon_cell,shelf_life_days_effective,days_since_harvest,spoilage_risk_score,lot_id,total_quantity_kg,weighted_avg_ask_price_usd_per_kg,avg_spoilage_risk_score,max_days_since_harvest,recommended_discount_pct,recommended_price_usd_per_kg,priority,order_id,match_score,decision,region_match,required_quantity_kg,min_quality_grade,max_days_since_harvest.1,target_price_usd_per_kg,baseline_shelf_life_days,medium_risk_day,high_risk_day,match_status
932,L100727,Facfcd89d3da5,Nigeria,FCT,Cucumbers,A,2026-02-16,2026-02-19,240,0.82,10.62,8.23,7.8,3,0.365,,,,,,,,,,,,,,,,,7,4,6,Not Matched
933,L100728,F59f152f5ca90,Nigeria,Oyo,Bell Peppers,B,2026-02-17,2026-02-18,170,1.54,8.32,8.48,10.0,2,0.21,LOT00298,555.0,1.58,0.119,2.0,0.0,1.58,LOW,O200446,0.944,AUTO_MATCH,1.0,500.0,B,10.0,1.57,10,6,8,AUTO_MATCH
934,L100729,F9bb599f94fe0,South Africa,KwaZulu-Natal,Tomatoes,C,2026-02-11,2026-02-12,50,0.95,-31.04,22.4,6.1,8,0.972,,,,,,,,,,,,,,,,,7,4,6,Not Matched
935,L100730,F916d5f2aa282,South Africa,KwaZulu-Natal,Carrots,B,2026-02-09,2026-02-10,111,0.83,-29.82,23.59,28.0,10,0.425,,,,,,,,,,,,,,,,,28,17,24,Not Matched
936,L100731,F3ecfd7fdc405,Nigeria,Lagos,Leafy Greens,A,2026-02-14,2026-02-15,72,1.53,7.84,7.3,4.4,5,0.998,,,,,,,,,,,,,,,,,4,2,3,Not Matched
937,L101390,F927f03560c26,Nigeria,Kaduna,Cucumbers,B,2026-02-16,2026-02-17,87,0.93,7.51,10.44,7.0,3,0.467,LOT00196,577.0,0.82,0.526,4.0,0.08,0.76,MEDIUM,,,,,,,,,7,4,6,Not Matched
938,L100732,F47440335a0b8,South Africa,KwaZulu-Natal,Leafy Greens,A,2026-02-15,2026-02-18,87,2.05,-29.6,21.89,4.4,4,0.85,,,,,,,,,,,,,,,,,4,2,3,Not Matched
939,L100733,F21ce69a93498,South Africa,Free State,Okra,A,2026-02-13,2026-02-15,187,1.74,-30.98,24.62,5.6,6,0.991,LOT00405,566.0,1.58,0.952,6.0,0.25,1.18,HIGH,,,,,,,,,5,3,4,Not Matched
940,L100734,Fc9ba162fe584,South Africa,KwaZulu-Natal,Bell Peppers,A,2026-02-15,2026-02-18,155,2.31,-30.45,20.8,11.1,4,0.377,LOT00441,504.0,2.22,0.324,4.0,0.0,2.22,LOW,,,,,,,,,10,6,8,Not Matched
941,L100735,F2e80e343c9a9,Nigeria,Rivers,Carrots,A,2026-02-14,2026-02-15,127,0.72,7.02,8.65,31.1,5,0.147,,,,,,,,,,,,,,,,,28,17,24,Not Matched
942,L100736,F288ca02d218f,Nigeria,Oyo,Leafy Greens,B,2026-02-13,2026-02-16,51,1.44,9.62,7.25,4.0,6,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
943,L100737,F107a427cfd34,South Africa,Gauteng,Leafy Greens,A,2026-02-12,2026-02-14,151,1.87,-32.06,22.9,4.4,7,0.957,,,,,,,,,,,,,,,,,4,2,3,Not Matched
944,L100738,Fcd79f3051ff9,Kenya,Machakos,Mangoes,A,2026-02-10,2026-02-10,110,1.47,0.05,37.33,7.8,9,0.989,,,,,,,,,,,,,,,,,7,4,6,Not Matched
945,L100739,F384d683189d4,Kenya,Nakuru,Bell Peppers,A,2026-02-13,2026-02-14,83,1.89,-0.88,38.24,11.1,6,0.523,,,,,,,,,,,,,,,,,10,6,8,Not Matched
946,L100740,F8a223d27d8ef,South Africa,Gauteng,Mangoes,B,2026-02-12,2026-02-13,166,1.47,-29.93,22.34,7.0,7,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
947,L100741,Fc9c12d5f169f,South Africa,Gauteng,Carrots,A,2026-02-02,2026-02-05,129,0.94,-29.19,21.99,31.1,17,0.597,LOT00419,568.0,0.93,0.614,18.0,0.15,0.79,HIGH,,,,,,,,,28,17,24,Not Matched
948,L100742,Fc482e5cf7132,Nigeria,Kaduna,Bananas,A,2026-02-11,2026-02-12,124,0.89,9.42,8.69,6.7,8,0.975,,,,,,,,,,,,,,,,,6,4,5,Not Matched
949,L101227,Fdbf52bf15d8c,Nigeria,Kaduna,Leafy Greens,A,2026-02-15,2026-02-17,130,1.4,8.32,8.63,4.4,4,0.92,LOT00199,579.0,1.51,0.916,4.0,0.25,1.14,HIGH,,,,,,,,,4,2,3,Not Matched
950,L100743,F8f61b558f7a1,South Africa,KwaZulu-Natal,Carrots,A,2026-01-27,2026-01-30,109,0.76,-29.79,22.82,31.1,23,0.774,,,,,,,,,,,,,,,,,28,17,24,Not Matched
951,L101481,F4a2abf29919b,Nigeria,Kaduna,Leafy Greens,A,2026-02-15,2026-02-18,180,1.63,9.36,9.48,4.4,4,0.911,LOT00199,579.0,1.51,0.916,4.0,0.25,1.14,HIGH,,,,,,,,,4,2,3,Not Matched
952,L100744,Fb508a4550ba5,Nigeria,Rivers,Cucumbers,A,2026-02-18,2026-02-21,215,0.93,10.01,8.31,7.8,1,0.11,LOT00340,508.0,0.93,0.147,1.0,0.0,0.93,LOW,O200268,0.899,AUTO_MATCH,1.0,500.0,B,7.0,0.72,7,4,6,AUTO_MATCH
953,L100745,F86180c9ffaa2,Nigeria,Kaduna,Onions,B,2026-02-08,2026-02-11,253,0.66,8.89,9.09,30.0,11,0.343,LOT00208,610.0,0.63,0.366,12.0,0.0,0.63,LOW,,,,,,,,,30,18,26,Not Matched
954,L100746,Fa226e27134f0,Kenya,Nairobi,Carrots,A,2026-02-06,2026-02-09,86,0.82,0.19,35.8,31.1,13,0.414,,,,,,,,,,,,,,,,,28,17,24,Not Matched
955,L100747,F615b31633631,South Africa,Limpopo,Tomatoes,A,2026-02-19,2026-02-21,61,1.37,-30.55,23.18,7.8,0,0.013,,,,,,,,,,,,,,,,,7,4,6,Not Matched
956,L100748,F1953d266894e,Kenya,Kiambu,Potatoes,B,2026-01-28,2026-01-30,88,0.51,-0.35,36.9,45.0,22,0.564,,,,,,,,,,,,,,,,,45,27,38,Not Matched
957,L100749,F56fb0b2447e3,South Africa,Gauteng,Bananas,A,2026-02-12,2026-02-12,50,0.68,-29.99,21.45,6.7,7,1.0,,,,,,,,,,,,,,,,,6,4,5,Not Matched
958,L100750,F04e9f8956655,South Africa,Gauteng,Leafy Greens,A,2026-02-10,2026-02-11,107,1.95,-30.78,25.04,4.4,9,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
959,L100751,Fdb17d90d04b9,South Africa,KwaZulu-Natal,Leafy Greens,A,2026-02-13,2026-02-13,96,2.22,-30.09,21.65,4.4,6,1.0,LOT00449,595.0,2.01,0.985,6.0,0.25,1.51,HIGH,,,,,,,,,4,2,3,Not Matched
960,L101005,Fea91303909a9,Nigeria,Kaduna,Mangoes,A,2026-02-15,2026-02-15,148,1.45,7.71,10.29,7.8,4,0.523,LOT00202,572.0,1.35,0.492,4.0,0.08,1.24,MEDIUM,,,,,,,,,7,4,6,Not Matched
961,L100752,F82a158e842d3,Kenya,Mombasa,Potatoes,C,2026-02-01,2026-02-03,174,0.5,0.71,37.35,39.1,18,0.49,,,,,,,,,,,,,,,,,45,27,38,Not Matched
962,L101778,F4f0f025d6c4c,Nigeria,Kaduna,Mangoes,A,2026-02-16,2026-02-17,260,1.3,9.48,6.89,7.8,3,0.415,LOT00202,572.0,1.35,0.492,4.0,0.08,1.24,MEDIUM,,,,,,,,,7,4,6,Not Matched
963,L100753,F8f46d0b5db5f,South Africa,KwaZulu-Natal,Bananas,B,2026-02-15,2026-02-16,118,0.84,-30.25,24.74,6.0,4,0.639,,,,,,,,,,,,,,,,,6,4,5,Not Matched
964,L100754,F4fe5554a35d6,Nigeria,Rivers,Carrots,A,2026-01-16,2026-01-16,112,0.72,8.4,8.2,31.1,34,0.996,,,,,,,,,,,,,,,,,28,17,24,Not Matched
965,L101552,F88b121fcef33,Nigeria,Kaduna,Mangoes,A,2026-02-17,2026-02-19,216,1.48,8.72,7.0,7.8,2,0.277,LOT00203,577.0,1.41,0.288,2.0,0.0,1.41,LOW,,,,,,,,,7,4,6,Not Matched
966,L100755,Fc6e75f1e1f81,Nigeria,Rivers,Leafy Greens,B,2026-02-16,2026-02-16,132,1.62,7.48,10.01,4.0,3,0.829,,,,,,,,,,,,,,,,,4,2,3,Not Matched
967,L100756,Faee9c23509a3,Nigeria,Kaduna,Okra,A,2026-02-18,2026-02-21,134,1.17,10.81,8.86,5.6,1,0.169,,,,,,,,,,,,,,,,,5,3,4,Not Matched
968,L100757,F48853449f07a,South Africa,Gauteng,Potatoes,A,2026-02-16,2026-02-17,177,0.63,-33.2,22.79,50.0,3,0.028,,,,,,,,,,,,,,,,,45,27,38,Not Matched
969,L100758,Fa063feabeeb5,South Africa,KwaZulu-Natal,Okra,A,2026-02-17,2026-02-20,163,1.61,-31.29,23.45,5.6,2,0.336,LOT00459,580.0,1.43,0.291,2.0,0.0,1.43,LOW,,,,,,,,,5,3,4,Not Matched
970,L100759,F384432eed12d,Nigeria,Oyo,Bananas,A,2026-02-15,2026-02-16,321,0.65,9.25,8.46,6.7,4,0.662,LOT00290,545.0,0.68,0.575,4.0,0.08,0.62,MEDIUM,,,,,,,,,6,4,5,Not Matched
971,L100760,F289f03b892da,Kenya,Mombasa,Leafy Greens,A,2026-02-16,2026-02-16,128,1.69,0.37,38.09,4.4,3,0.675,,,,,,,,,,,,,,,,,4,2,3,Not Matched
972,L100761,Fa97cc1f65986,Kenya,Kiambu,Potatoes,C,2026-01-20,2026-01-20,93,0.41,0.35,36.18,39.1,30,0.753,,,,,,,,,,,,,,,,,45,27,38,Not Matched
973,L100763,Fe355d37954c9,Nigeria,Oyo,Potatoes,A,2026-01-30,2026-01-31,50,0.5,8.39,8.89,50.0,20,0.42,,,,,,,,,,,,,,,,,45,27,38,Not Matched
974,L101737,F14b03f5ba478,Nigeria,Kaduna,Okra,B,2026-02-17,2026-02-19,220,1.01,9.23,6.63,5.0,2,0.384,LOT00206,572.0,1.06,0.414,2.0,0.08,0.98,MEDIUM,,,,,,,,,5,3,4,Not Matched
975,L100765,F1702f4fdc07f,Nigeria,Kaduna,Tomatoes,A,2026-02-18,2026-02-20,143,1.04,9.56,8.27,7.8,1,0.153,LOT00211,504.0,1.04,0.161,2.0,0.0,1.04,LOW,,,,,,,,,7,4,6,Not Matched
976,L100766,F00fb9c459883,Nigeria,Lagos,Bell Peppers,A,2026-02-11,2026-02-12,298,1.52,10.84,9.26,11.1,8,0.782,LOT00254,674.0,1.7,0.746,8.0,0.15,1.44,HIGH,,,,,,,,,10,6,8,Not Matched
977,L101716,Faee9c23509a3,Nigeria,Kaduna,Onions,A,2026-02-12,2026-02-12,226,0.66,9.76,6.6,33.3,7,0.252,LOT00207,560.0,0.62,0.173,7.0,0.0,0.62,LOW,O200018,0.546,REVIEW_REQUIRED,0.0,500.0,A,10.0,0.47,30,18,26,REVIEW_REQUIRED
978,L100768,Ff2bb87ea4cbd,South Africa,Limpopo,Bananas,A,2026-02-12,2026-02-14,87,1.0,-31.89,21.04,6.7,7,0.986,,,,,,,,,,,,,,,,,6,4,5,Not Matched
979,L100769,Fd29382f40a50,South Africa,Free State,Tomatoes,B,2026-02-17,2026-02-18,93,0.88,-29.3,23.05,7.0,2,0.317,LOT00413,611.0,0.98,0.289,2.0,0.0,0.98,LOW,,,,,,,,,7,4,6,Not Matched
980,L100843,Fc68279515395,Nigeria,Kaduna,Onions,B,2026-02-07,2026-02-09,127,0.58,9.24,7.2,30.0,12,0.387,LOT00208,610.0,0.63,0.366,12.0,0.0,0.63,LOW,,,,,,,,,30,18,26,Not Matched
981,L100770,F4ef20b8aa894,Nigeria,Kano,Mangoes,A,2026-02-16,2026-02-19,90,1.14,9.96,7.01,7.8,3,0.494,,,,,,,,,,,,,,,,,7,4,6,Not Matched
982,L100771,Fca6497639f29,Kenya,Nakuru,Bananas,A,2026-02-18,2026-02-18,50,0.76,0.85,38.54,6.7,1,0.11,,,,,,,,,,,,,,,,,6,4,5,Not Matched
983,L101560,Fc482e5cf7132,Nigeria,Kaduna,Onions,B,2026-02-08,2026-02-11,138,0.66,10.7,8.53,30.0,11,0.411,LOT00208,610.0,0.63,0.366,12.0,0.0,0.63,LOW,,,,,,,,,30,18,26,Not Matched
984,L100772,F7b3067083795,Nigeria,Kano,Carrots,B,2026-02-03,2026-02-03,95,0.63,11.08,9.31,28.0,16,0.556,,,,,,,,,,,,,,,,,28,17,24,Not Matched
985,L101844,F86180c9ffaa2,Nigeria,Kaduna,Tomatoes,A,2026-02-11,2026-02-13,318,0.96,10.88,6.98,7.8,8,0.924,LOT00209,569.0,0.96,0.952,8.0,0.25,0.72,HIGH,,,,,,,,,7,4,6,Not Matched
986,L100774,F4f1f07285403,Nigeria,Kano,Onions,A,2026-02-05,2026-02-06,80,0.65,9.92,9.14,33.3,14,0.37,,,,,,,,,,,,,,,,,30,18,26,Not Matched
987,L100775,Ff9a2aa0bff0c,Kenya,Nairobi,Bananas,A,2026-02-19,2026-02-19,159,0.85,1.09,40.1,6.7,0,0.0,,,,,,,,,,,,,,,,,6,4,5,Not Matched
988,L100776,Fb5c08f9f6422,South Africa,Gauteng,Onions,B,2026-01-31,2026-02-02,50,0.63,-31.89,22.63,30.0,19,0.608,LOT00431,538.0,0.68,0.625,20.0,0.15,0.58,HIGH,,,,,,,,,30,18,26,Not Matched
989,L100777,Ff03679b88e2e,Nigeria,Lagos,Okra,A,2026-02-14,2026-02-14,106,1.42,8.62,7.07,5.6,5,0.885,LOT00276,677.0,1.26,0.963,6.0,0.25,0.94,HIGH,,,,,,,,,5,3,4,Not Matched
990,L100778,F9676fe801b77,Kenya,Uasin Gishu,Mangoes,A,2026-02-19,2026-02-21,91,1.23,0.05,36.5,7.8,0,0.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
991,L101283,Fa44aa6abc45b,Nigeria,Kaduna,Tomatoes,A,2026-02-15,2026-02-17,81,0.94,9.45,8.65,7.8,4,0.427,LOT00210,566.0,0.92,0.441,4.0,0.08,0.84,MEDIUM,,,,,,,,,7,4,6,Not Matched
992,L100779,F806230f6732a,Nigeria,Oyo,Leafy Greens,A,2026-02-14,2026-02-16,243,1.44,9.68,8.71,4.4,5,0.899,,,,,,,,,,,,,,,,,4,2,3,Not Matched
993,L100781,F3c03a56b4a9a,Nigeria,Lagos,Cucumbers,B,2026-02-17,2026-02-19,164,0.75,8.53,8.94,7.0,2,0.281,LOT00268,515.0,0.85,0.255,2.0,0.0,0.85,LOW,,,,,,,,,7,4,6,Not Matched
994,L100782,Ffaf68f9c35c2,South Africa,Western Cape,Bananas,A,2026-02-11,2026-02-11,184,0.84,-30.18,23.21,6.7,8,0.986,LOT00491,524.0,0.86,0.978,8.0,0.25,0.64,HIGH,,,,,,,,,6,4,5,Not Matched
995,L100784,Fda3a96c79116,Nigeria,Kano,Leafy Greens,A,2026-02-18,2026-02-21,117,1.71,9.48,9.2,4.4,1,0.276,,,,,,,,,,,,,,,,,4,2,3,Not Matched
996,L100785,F05cc56fbbd3a,South Africa,Western Cape,Bell Peppers,A,2026-02-10,2026-02-10,75,2.09,-31.99,24.31,11.1,9,0.781,,,,,,,,,,,,,,,,,10,6,8,Not Matched
997,L101591,Fe3d55a890f5c,Nigeria,Kaduna,Tomatoes,B,2026-02-14,2026-02-14,63,0.84,10.95,7.12,7.0,5,0.751,LOT00212,606.0,0.89,0.73,6.0,0.15,0.76,HIGH,,,,,,,,,7,4,6,Not Matched
998,L100786,F0379a64b12bc,South Africa,KwaZulu-Natal,Bell Peppers,A,2026-02-14,2026-02-16,108,2.47,-33.0,21.86,11.1,5,0.46,,,,,,,,,,,,,,,,,10,6,8,Not Matched
999,L100789,F3ecfd7fdc405,Nigeria,Lagos,Tomatoes,B,2026-02-17,2026-02-19,112,0.83,9.28,8.2,7.0,2,0.207,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1000,L100790,F1dd2d48827b7,Nigeria,Lagos,Potatoes,A,2026-02-10,2026-02-10,166,0.49,9.57,10.63,50.0,9,0.102,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1001,L100791,Fb40903a01853,South Africa,Limpopo,Leafy Greens,B,2026-02-17,2026-02-20,103,1.84,-32.51,24.15,4.0,2,0.438,,,,,,,,,,,,,,,,,4,2,3,Not Matched
1002,L100792,F94f4cff5fd70,Kenya,Nakuru,Carrots,B,2026-02-06,2026-02-08,92,0.74,0.07,37.78,28.0,13,0.481,,,,,,,,,,,,,,,,,28,17,24,Not Matched
1003,L100841,F7b3067083795,Nigeria,Kano,Bananas,A,2026-02-12,2026-02-12,100,0.74,8.09,7.3,6.7,7,0.953,LOT00214,752.0,0.75,0.994,7.0,0.25,0.56,HIGH,,,,,,,,,6,4,5,Not Matched
1004,L100793,Fa8e0971ddffa,South Africa,KwaZulu-Natal,Bell Peppers,C,2026-02-19,2026-02-22,87,1.7,-29.8,22.84,8.7,0,0.039,,,,,,,,,,,,,,,,,10,6,8,Not Matched
1005,L100794,F9aaad28326c9,South Africa,Eastern Cape,Leafy Greens,A,2026-02-14,2026-02-17,154,1.87,-30.06,22.86,4.4,5,1.0,LOT00375,521.0,1.97,0.986,6.0,0.25,1.48,HIGH,,,,,,,,,4,2,3,Not Matched
1006,L100796,F26ae82a14560,Kenya,Uasin Gishu,Cucumbers,B,2026-02-13,2026-02-13,76,0.84,-0.14,37.22,7.0,6,0.819,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1007,L100797,F884cff8c5855,South Africa,Limpopo,Potatoes,A,2026-02-04,2026-02-05,264,0.65,-30.86,21.82,50.0,15,0.17,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1008,L100798,F85580e46da17,Kenya,Nairobi,Carrots,A,2026-01-19,2026-01-21,98,0.85,0.12,39.35,31.1,31,1.0,,,,,,,,,,,,,,,,,28,17,24,Not Matched
1009,L100799,F28187dd9208d,Nigeria,Lagos,Okra,A,2026-02-18,2026-02-21,180,1.15,8.62,8.92,5.6,1,0.172,LOT00279,561.0,1.19,0.354,2.0,0.0,1.19,LOW,,,,,,,,,5,3,4,Not Matched
1010,L100801,Fc4ab86e6c536,Kenya,Nairobi,Potatoes,A,2026-01-26,2026-01-27,302,0.59,1.09,36.74,50.0,24,0.518,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1011,L100802,Fae76937d795d,Kenya,Mombasa,Mangoes,B,2026-02-17,2026-02-17,234,1.36,0.39,37.9,7.0,2,0.331,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1012,L100805,Fcd79f3051ff9,Kenya,Machakos,Potatoes,C,2026-02-07,2026-02-08,150,0.43,1.55,37.3,39.1,12,0.319,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1013,L100806,Ff95af2d2cc19,South Africa,Eastern Cape,Mangoes,A,2026-02-15,2026-02-15,82,1.56,-31.09,21.23,7.8,4,0.604,LOT00380,549.0,1.48,0.478,4.0,0.08,1.37,MEDIUM,,,,,,,,,7,4,6,Not Matched
1014,L100807,F449032f2c6d7,Kenya,Kiambu,Potatoes,A,2026-01-29,2026-01-30,229,0.51,-1.65,38.05,50.0,21,0.288,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1015,L101688,Fb02196de9215,Nigeria,Kano,Bananas,B,2026-02-13,2026-02-16,64,0.73,8.2,7.8,6.0,6,1.0,LOT00218,510.0,0.65,0.909,6.0,0.25,0.49,HIGH,,,,,,,,,6,4,5,Not Matched
1016,L100808,F56fb0b2447e3,South Africa,Gauteng,Tomatoes,A,2026-02-14,2026-02-17,169,1.18,-29.94,21.95,7.8,5,0.659,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1017,L100809,F8a023ebde108,Nigeria,Oyo,Bananas,A,2026-02-09,2026-02-12,86,0.66,11.15,8.52,6.7,10,1.0,,,,,,,,,,,,,,,,,6,4,5,Not Matched
1018,L100827,Fa06283296551,Nigeria,Kano,Bananas,B,2026-02-16,2026-02-16,313,0.63,8.25,9.93,6.0,3,0.548,LOT00219,748.0,0.66,0.644,4.0,0.15,0.56,HIGH,,,,,,,,,6,4,5,Not Matched
1019,L100810,F2644d1e4fa59,South Africa,Gauteng,Mangoes,A,2026-02-16,2026-02-18,50,1.66,-30.09,21.03,7.8,3,0.372,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1020,L100811,Faf5367dbad3d,South Africa,KwaZulu-Natal,Tomatoes,A,2026-02-09,2026-02-09,269,1.19,-30.79,25.63,7.8,10,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1021,L100968,Ff5673978575b,Nigeria,Kano,Bananas,B,2026-02-15,2026-02-17,87,0.75,9.69,8.1,6.0,4,0.681,LOT00220,571.0,0.71,0.506,4.0,0.08,0.65,MEDIUM,,,,,,,,,6,4,5,Not Matched
1022,L101260,Fad0ca04beb6a,Nigeria,Kano,Bananas,B,2026-02-16,2026-02-17,67,0.72,8.72,8.49,6.0,3,0.624,LOT00220,571.0,0.71,0.506,4.0,0.08,0.65,MEDIUM,,,,,,,,,6,4,5,Not Matched
1023,L100813,F2256a54d07a9,South Africa,Western Cape,Onions,A,2026-01-23,2026-01-24,98,0.7,-31.47,24.58,33.3,27,0.834,,,,,,,,,,,,,,,,,30,18,26,Not Matched
1024,L100814,Fc839e8271974,Nigeria,FCT,Mangoes,B,2026-02-15,2026-02-15,135,1.1,8.09,9.18,7.0,4,0.563,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1025,L100815,F9b725d9990b5,Nigeria,Rivers,Tomatoes,B,2026-02-09,2026-02-10,304,1.01,9.63,9.53,7.0,10,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1026,L100816,F9b725d9990b5,Nigeria,Rivers,Mangoes,A,2026-02-17,2026-02-19,71,1.15,9.77,8.0,7.8,2,0.257,LOT00347,593.0,1.37,0.199,2.0,0.0,1.37,LOW,,,,,,,,,7,4,6,Not Matched
1027,L101202,F4ef20b8aa894,Nigeria,Kano,Bell Peppers,A,2026-02-13,2026-02-13,120,1.8,8.43,8.18,11.1,6,0.501,LOT00221,564.0,1.8,0.5,6.0,0.08,1.65,MEDIUM,,,,,,,,,10,6,8,Not Matched
1028,L100817,F289f03b892da,Kenya,Mombasa,Carrots,A,2026-02-10,2026-02-11,64,0.92,0.16,38.06,31.1,9,0.299,,,,,,,,,,,,,,,,,28,17,24,Not Matched
1029,L101419,Ff5673978575b,Nigeria,Kano,Bell Peppers,A,2026-02-13,2026-02-13,99,1.76,7.31,7.62,11.1,6,0.543,LOT00221,564.0,1.8,0.5,6.0,0.08,1.65,MEDIUM,,,,,,,,,10,6,8,Not Matched
1030,L100818,F329ff1d43216,Nigeria,Oyo,Leafy Greens,A,2026-02-16,2026-02-19,312,1.69,9.19,10.6,4.4,3,0.721,LOT00311,517.0,1.75,0.801,4.0,0.15,1.49,HIGH,,,,,,,,,4,2,3,Not Matched
1031,L100819,F13b1bb5bcbcb,Nigeria,Rivers,Leafy Greens,A,2026-02-11,2026-02-11,100,1.7,9.5,10.72,4.4,8,1.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
1032,L100820,Fe33982f97bcd,Nigeria,Kano,Leafy Greens,A,2026-02-17,2026-02-18,322,1.41,6.72,11.33,4.4,2,0.438,LOT00232,657.0,1.43,0.437,2.0,0.08,1.32,MEDIUM,,,,,,,,,4,2,3,Not Matched
1033,L100821,Fcd6a62ab63f4,South Africa,Free State,Potatoes,B,2026-01-23,2026-01-24,119,0.61,-31.39,24.78,45.0,27,0.565,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1034,L100822,F7cb878e93b5d,Nigeria,Kano,Mangoes,B,2026-02-17,2026-02-19,96,1.21,9.81,9.01,7.0,2,0.281,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1035,L101010,F70eb5793cc39,Nigeria,Kano,Bell Peppers,A,2026-02-14,2026-02-17,171,1.65,7.52,5.84,11.1,5,0.511,LOT00222,575.0,1.69,0.529,6.0,0.08,1.55,MEDIUM,,,,,,,,,10,6,8,Not Matched
1036,L100824,F884cff8c5855,South Africa,Limpopo,Okra,A,2026-02-09,2026-02-11,171,1.31,-30.25,22.33,5.6,10,0.969,,,,,,,,,,,,,,,,,5,3,4,Not Matched
1037,L100919,F8fe85135727e,Nigeria,Kano,Bell Peppers,A,2026-02-15,2026-02-16,156,1.76,9.85,10.55,11.1,4,0.397,LOT00223,521.0,1.83,0.372,4.0,0.0,1.83,LOW,,,,,,,,,10,6,8,Not Matched
1038,L100825,F74b3ace3b0fe,South Africa,Free State,Potatoes,C,2026-02-05,2026-02-07,101,0.55,-30.55,26.01,39.1,14,0.247,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1039,L100826,F7a4370921019,Kenya,Uasin Gishu,Cucumbers,B,2026-02-15,2026-02-15,97,0.81,-0.62,37.69,7.0,4,0.499,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1040,L100828,F2747dcadbff3,Kenya,Nakuru,Potatoes,B,2026-02-11,2026-02-13,116,0.42,1.09,37.76,45.0,8,0.222,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1041,L100829,Fca7bd9370b78,South Africa,Free State,Leafy Greens,A,2026-02-19,2026-02-21,120,1.95,-29.57,23.99,4.4,0,0.0,,,,,,,,,,,,,,,,,4,2,3,Not Matched
1042,L100830,Fada2d17390dc,Nigeria,Lagos,Okra,B,2026-02-18,2026-02-21,94,1.09,8.48,8.54,5.0,1,0.253,LOT00282,506.0,1.0,0.315,2.0,0.0,1.0,LOW,,,,,,,,,5,3,4,Not Matched
1043,L100831,Ff60bf8bb0e53,South Africa,Eastern Cape,Mangoes,A,2026-02-08,2026-02-11,208,1.79,-31.53,22.62,7.8,11,1.0,,,,,,,,,,,,,,,,,7,4,6,Not Matched
1044,L100832,Fca7bd9370b78,South Africa,Free State,Potatoes,A,2026-01-21,2026-01-22,116,0.7,-30.26,22.43,50.0,29,0.548,,,,,,,,,,,,,,,,,45,27,38,Not Matched
1045,L101036,F1d9ab0c3ff43,Nigeria,Kano,Cucumbers,A,2026-02-12,2026-02-12,116,0.83,8.91,6.78,7.8,7,0.973,LOT00225,513.0,0.74,0.937,8.0,0.25,0.56,HIGH,,,,,,,,,7,4,6,Not Matched
1046,L100833,F4ef20b8aa894,Nigeria,Kano,Leafy Greens,A,2026-02-17,2026-02-17,118,1.81,10.17,8.25,4.4,2,0.428,LOT00231,624.0,1.72,0.386,2.0,0.0,1.72,LOW,,,,,,,,,4,2,3,Not Matched
1047,L101061,Fb12caf5e199e,Nigeria,Kano,Cucumbers,A,2026-02-12,2026-02-13,153,0.83,7.67,7.33,7.8,7,0.942,LOT00225,513.0,0.74,0.937,8.0,0.25,0.56,HIGH,,,,,,,,,7,4,6,Not Matched
1048,L100834,F63394bbad8b1,Kenya,Uasin Gishu,Onions,A,2026-02-07,2026-02-09,118,0.64,1.26,37.34,33.3,12,0.322,,,,,,,,,,,,,,,,,30,18,26,Not Matched
1049,L100836,F3b625ccc6ed0,South Africa,KwaZulu-Natal,Potatoes,A,2026-01-25,2026-01-25,127,0.63,-30.51,21.32,50.0,25,0.534,LOT00464,647.0,0.63,0.536,26.0,0.08,0.58,MEDIUM,,,,,,,,,45,27,38,Not Matched
1050,L100837,Fcd79f3051ff9,Kenya,Machakos,Onions,A,2026-02-06,2026-02-06,79,0.76,1.4,35.86,33.3,13,0.477,,,,,,,,,,,,,,,,,30,18,26,Not Matched
